Year_Month,Employee_Count
2022-01,782
2022-02,772
2022-03,752
2022-04,732
2022-05,724
2022-06,713
2022-07,704
2022-08,703
2022-09,696
2022-10,689
2022-11,694
2022-12,694
2023-01,713
2023-02,706
2023-03,689
2023-04,581
2023-05,246
2023-06,241
2023-07,235
2023-08,225
2023-09,217
2023-10,214
2023-11,196
2023-12,195
2024-01,215
2024-02,205
