Year_Month,Employee_Count
2021-12,590
2022-01,584
2022-02,584
2022-03,604
2022-04,603
2022-05,599
2022-06,609
2022-07,610
2022-08,620
2022-09,632
2022-10,628
2022-11,623
2022-12,672
2023-01,671
2023-02,664
2023-03,663
2023-04,667
2023-05,661
2023-06,671
2023-07,655
2023-08,652
2023-09,648
2023-10,685
2023-11,660
2023-12,819
2024-01,807
2024-02,801
