Year_Month,Employee_Count
2022-04,386
2022-05,390
2022-06,386
2022-07,375
2022-08,373
2022-09,369
2022-10,372
2022-11,385
2022-12,377
2023-01,368
2023-02,371
2023-03,360
2023-04,379
2023-05,376
2023-06,370
2023-07,365
2023-08,361
2023-09,350
2023-10,349
2023-11,407
2023-12,407
2024-01,407
2024-02,389
